body_type,color,fuel_type,model_date_begin,name,number_of_doors,age,vehicle_transmission,engine_displacement,engine_power,mileage,gear_type,owners,pts_origin,price,exp_year,bluetooth,steering-wheel-gear-shift-paddles,paint-metallic,rain-sensor,light-sensor,isofix,navigation,multi-wheel,usb,airbag-curtain,rear-camera,body-kit,front-seats-heat-vent,power-latching-doors,apple-carplay,start-button,auto-mirrors,wireless-charger,led-lights,auto-park,tyre-pressure,high-beam-assist,360-camera,projection-display,keyless-entry,start-stop-function,wheel-heat,glonass,adaptive-light,electro-trunk,tax
hatchback5,brown,petrol,9,116i,5,7,автоматическая,1.6,136,94500,rear,one,original,13.514405465180353,5,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4760
cabriolet,white,petrol,13,125i,2,12,автоматическая,3.0,218,135000,rear,three_more,duplicate,13.58609739363647,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14170
hatchback5,dark_blue,petrol,9,M135i,5,7,автоматическая,3.0,320,105000,full,three_more,duplicate,14.340239086899256,6,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,48000
hatchback5,black,petrol,13,118i,5,10,автоматическая,2.0,136,116000,rear,three_more,original,13.217673557208654,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760
hatchback5,brown,petrol,9,118i,5,8,автоматическая,1.6,170,81000,rear,two,original,13.706811141040934,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7650
hatchback5,black,petrol,3,118i,5,2,автоматическая,1.5,136,49000,rear,one,original,14.179458985869505,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4760
hatchback5,red,petrol,13,116i,5,9,автоматическая,1.6,115,197985,rear,one,original,13.16158409055761,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875
hatchback5,white,petrol,9,116i,5,8,автоматическая,1.6,136,158252,rear,one,original,13.500799813124575,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760
hatchback5,orange,petrol,3,118i,5,2,автоматическая,1.5,136,58000,rear,one,original,14.15910026235435,3,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4760
hatchback5,dark_blue,petrol,5,118i,5,3,автоматическая,1.5,136,49911,rear,one,original,14.144814305106875,2,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4760
